(Método de la Bisección) ¿En qué consiste el método? ; Método iterativo que, dado un intervalo \([a,b]\) donde la función cambia de signo, reduce el intervalo a la mitad en cada paso para aproximar la raíz.
(Método de la Bisección) ¿Cuál es la condición necesaria para aplicarlo? ; Que \(f\) sea continua en \([a,b]\) y que \(f(a)f(b) < 0\).
(Método de la Bisección) ¿Qué garantiza la condición \(f(a)f(b) < 0\)? ; Garantiza la existencia de al menos una raíz dentro del intervalo.
(Método de la Bisección) ¿Cómo se define el punto \(c_k\)? ; \(c_k = \frac{a_k + b_k}{2}\).
(Método de la Bisección) ¿Qué representa \(c_k\)? ; Es la aproximación de la raíz en la iteración \(k\).
(Método de la Bisección) ¿Cómo se decide el nuevo intervalo? ; Se elige el subintervalo donde la función cambia de signo entre \([a_k, c_k]\) o \([c_k, b_k]\).
(Método de la Bisección) Si \(f(a_k)f(c_k) < 0\), ¿cuál es el nuevo intervalo? ; \([a_k, c_k]\).
(Método de la Bisección) Si \(f(c_k)f(b_k) < 0\), ¿cuál es el nuevo intervalo? ; \([c_k, b_k]\).
(Método de la Bisección) ¿Qué propiedad fundamental se mantiene en cada paso? ; La raíz \(\alpha\) siempre pertenece al intervalo \([a_k, b_k]\).
(Método de la Bisección) ¿Cómo evoluciona la longitud del intervalo? ; Se reduce a la mitad en cada iteración.
(Método de la Bisección) Completar: \(b_{k+1} - a_{k+1} =\) ; \(\frac{1}{2}(b_k - a_k)\).
(Método de la Bisección) Completar: \(b_k - a_k =\) ; \(\left(\frac{1}{2}\right)^{k-1}(b_1 - a_1)\).
(Método de la Bisección) ¿Cuál es la cota del error al usar \(c_k\)? ; \(|\alpha - c_k| \le \frac{b_k - a_k}{2}\).
(Método de la Bisección) Completar: \(|\alpha - c_k| \le\) ; \(\left(\frac{1}{2}\right)^k (b_1 - a_1)\).
(Método de la Bisección) ¿Por qué el error tiende a cero? ; Porque \(\left(\frac{1}{2}\right)^k \to 0\) cuando \(k \to \infty\).
(Método de la Bisección) ¿Qué asegura que \(c_k\) converge a \(\alpha\)? ; Que el error está acotado por una cantidad que tiende a cero.
(Método de la Bisección) Si quiero error \(\le \varepsilon\), ¿qué debe cumplirse? ; \(\frac{b-a}{2^k} \le \varepsilon\).
(Método de la Bisección) Completar: \(k \ge\) ; \(\frac{\ln((b-a)/\varepsilon)}{\ln 2}\).
(Método de la Bisección) Ventaja principal ; Es simple y garantiza convergencia.
(Método de la Bisección) Desventaja principal ; Converge lento comparado con otros métodos como Newton.
