(Método de Newton) ¿Qué problema busca resolver? ; Encontrar una aproximación de una raíz \(\alpha\) tal que \(f(\alpha)=0\).
(Método de Newton) ¿Qué hipótesis se hacen sobre la función? ; Que \(f\) es al menos \(C^2\) en un intervalo que contiene a la raíz y que \(f'(x_n) \neq 0\).
(Método de Newton) ¿Qué es \(p_1(x)\) en la deducción? ; El polinomio de Taylor de primer grado de \(f\) alrededor de \(x_0\): \(p_1(x) = f(x_0) + (x-x_0)f'(x_0)\).
(Método de Newton) ¿Qué representa geométricamente \(p_1(x)\)? ; La recta tangente a \(f\) en el punto \((x_0, f(x_0))\).
(Método de Newton) ¿Cómo se obtiene la siguiente aproximación \(x_1\)? ; Como la raíz de la recta tangente: \(p_1(x_1)=0\).
(Método de Newton) Fórmula de \(x_1\) a partir de \(x_0\). ; \(x_1 = x_0 - \dfrac{f(x_0)}{f'(x_0)}\).
(Método de Newton) Fórmula general de iteración. ; \(x_{n+1} = x_n - \dfrac{f(x_n)}{f'(x_n)}\).
(Método de Newton) ¿Qué interpretación geométrica tiene \(x_{n+1}\)? ; Es la intersección con el eje \(x\) de la recta tangente a \(f\) en \((x_n, f(x_n))\).
(Método de Newton) Desarrollo de Taylor usado en el análisis del error. ; \(0 = f(\alpha) = f(x_n) + (\alpha-x_n)f'(x_n) + \dfrac{1}{2}(\alpha-x_n)^2 f''(c_n)\), con \(c_n\) entre \(\alpha\) y \(x_n\).
(Método de Newton) Relación del error entre dos iteraciones consecutivas. ; \(\alpha - x_{n+1} = \left( -\dfrac{f''(c_n)}{2f'(x_n)} \right)(\alpha-x_n)^2\).
(Método de Newton) Si el método converge y \(f'(\alpha) \neq 0\), ¿qué tipo de convergencia tiene? ; Convergencia cuadrática.
(Método de Newton) ¿Qué significa convergencia cuadrática? ; Que el error nuevo es proporcional al cuadrado del error anterior; los dígitos correctos crecen muy rápido.
(Método de Newton) ¿Por qué suele ser más rápido que bisección? ; Porque tiene convergencia cuadrática, mientras que bisección es lineal.
(Método de Newton) ¿Qué puede pasar si \(f'(x_n)=0\)? ; La fórmula no se puede aplicar y el método falla o se vuelve inestable.
(Método de Newton) Completar: \(x_{n+1} = x_n - \_\_\_\_\). ; \(\dfrac{f(x_n)}{f'(x_n)}\).
(Método de Newton) Completar: \(p_1(x) = \_\_\_\_ + (x-x_0)\_\_\_\_\). ; \(f(x_0)\) ; \(f'(x_0)\).
(Método de Newton) Completar: la nueva aproximación es la raíz de \(\_\_\_\_\). ; \(p_1(x)\).
(Método de Newton) Completar: \(0 = f(\alpha) = f(x_n) + (\alpha-x_n)f'(x_n) + \_\_\_\_\). ; \(\dfrac{1}{2}(\alpha-x_n)^2 f''(c_n)\).
(Método de Newton) Completar: \(\alpha - x_{n+1} = \_\_\_\_ (\alpha-x_n)^2\). ; \(-\dfrac{f''(c_n)}{2f'(x_n)}\).
(Método de Newton) Si converge: \(\lim \dfrac{|\alpha-x_{n+1}|}{|\alpha-x_n|^2} = \_\_\_\_\). ; \(\left| -\dfrac{f''(\alpha)}{2f'(\alpha)} \right|\).
(Método de Newton) En el análisis del error, ¿dónde se encuentra \(c_n\)? ; Entre \(\alpha\) y \(x_n\).
(Método de Newton) ¿Qué herramienta matemática permite demostrar la convergencia cuadrática? ; El desarrollo de Taylor con resto.
(Método de Newton) ¿Qué orden del desarrollo de Taylor se usa en la demostración? ; Segundo orden.
(Método de Newton) Para que haya convergencia cuadrática, ¿qué condición debe cumplirse en la raíz? ; Que \(f'(\alpha) \neq 0\).
(Método de Newton) Si el error cumple \(\alpha-x_{n+1} \approx C(\alpha-x_n)^2\), ¿qué implica? ; Que el método tiene convergencia cuadrática.
(Método de Newton) Si estoy cerca de la raíz y aplico Newton, ¿el error aumenta o disminuye muy rápido? ; Disminuye muy rápido porque se eleva al cuadrado en cada paso.
(Método de Newton) ¿Qué término del Taylor es responsable del carácter cuadrático? ; El término con \(f''(c_n)\) multiplicando \((\alpha-x_n)^2\).

